caseId,randomFileName,formatId,formatName,group,method,selectedLayout,score,actionsToFix,estimatedCorrectionTimeSec,evaluatorId,sourceFile,manualScore,readabilityOk,requiredPreserved,majorOverlap,comment
case_001,case_001.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,scaling,scaling,1950,5,150,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Критическое наложение текста на графические элементы из-за экстремального сжатия контейнера
case_002,case_002.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,fixedLayout,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Необходима незначительная доработка межстрочных интервалов и полей
case_003,case_003.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,candidateSelection,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Дублирует базовую схему; требуется ручная подгонка внутренних отступов
case_004,case_004.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,scaling,scaling,1650,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Критическое перекрытие заголовка фоновым изображением без учета контрастности
case_005,case_005.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,fixedLayout,fixedLayout,100,1,30,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Технически валидная заготовка, требуется минимальный сдвиг кнопки к краю"
case_006,case_006.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,candidateSelection,fixedLayout,100,1,30,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Корректное распределение элементов в широком формате
case_007,case_007.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Искажений нет, пропорции и читаемость полностью сохранены"
case_008,case_008.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Элементы позиционированы корректно, разметка стабильна"
case_009,case_009.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Сборка выполнена без замечаний, макет готов к наполнению"
case_010,case_010.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Искажения отсутствуют, пропорции растра в пределах нормы"
case_011,case_011.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Вертикальный макет собран корректно, элементы не конфликтуют"
case_012,case_012.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Оптимальное заполнение вертикального формата, коллизий нет"
case_013,case_013.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Стандартный квадратный формат, пропорции элементов удержаны"
case_014,case_014.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Чистая структура без пересечения bounding box-ов
case_015,case_015.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Готовая заготовка, дефектов рендеринга не обнаружено"
case_016,case_016.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,scaling,scaling,1650,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,"В узком формате текст вышел за границы макета, шрифты нечитаемы"
case_017,case_017.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Узкий формат обработан корректно, элементы выстроены в стек"
case_018,case_018.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Элементы спозиционированы по вертикали без наложений
case_019,case_019.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,scaling,scaling,1250,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Незначительное нарушение охранной зоны логотипа
case_020,case_020.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,fixedLayout,fixedLayout,150,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Элементы составного логотипа наложились друг на друга при сжатии холста
case_021,case_021.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,candidateSelection,hero,150,2,60,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Выбрана альтернативная стратегия hero; требуется корректировка полей знака
case_022,case_022.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,scaling,scaling,1950,5,150,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Критический оверлап основного УТП и фоновой подложки
case_023,case_023.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,fixedLayout,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Требуется ручное выравнивание базовой линии текстовых блоков
case_024,case_024.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,candidateSelection,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Результат требует косметической доработки внутренних отступов контейнера
case_025,case_025.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,scaling,scaling,1650,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,"Выход текстового блока за правое поле баннера, обрез контента"
case_026,case_026.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,fixedLayout,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,"Нарушена иерархия размеров шрифтов, текст слишком мелкий"
case_027,case_027.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,candidateSelection,split,150,2,60,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,"Стратегия split разделила контент, требуется выравнивание текстового блока по центру"
case_028,case_028.png,2gis-card-bg-800x400,2ГИС Фоновое изображение карточки,horizontal,scaling,scaling,450,1,30,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Легкое размытие и потеря четкости растрового фона при масштабировании
case_029,case_029.png,2gis-card-bg-800x400,2ГИС Фоновое изображение карточки,horizontal,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Фоновое изображение кадрировано корректно
case_030,case_030.png,2gis-card-bg-800x400,2ГИС Фоновое изображение карточки,horizontal,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Фон распределен без искажений геометрии
case_031,case_031.png,2gis-story-720x1280,2ГИС Сторис 9:16,vertical,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Вертикальная композиция полностью стабильна
case_032,case_032.png,2gis-story-720x1280,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Нарушений безопасных зон площадки не обнаружено
