caseId,randomFileName,formatId,formatName,group,method,selectedLayout,cases,ratings,averageManualScore,score0Count,score1Count,score2Count,readabilityOkRate,requiredPreservedRate,majorOverlapRate,evaluatorIds,fullAgreement,strongDisagreement,comments
case_001,case_001.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,scaling,scaling,1,2,0.5,1,1,0,0,1,0.5,evaluator-1|control-assistant,false,false,Сильный оверлап из-за экстремального сжатия текста|Мелкий текст и CTA; требуется упрощение
case_002,case_002.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,fixedLayout,fixedLayout,1,2,1.5,0,1,1,1,1,0,evaluator-1|control-assistant,false,false,Требуется ручная корректировка полей и интерлиньяжа
case_003,case_003.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,candidateSelection,fixedLayout,1,2,1.5,0,1,1,1,1,0,evaluator-1|control-assistant,false,false,Незначительный выход элементов за пределы safe-area
case_004,case_004.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,scaling,scaling,1,2,0.5,1,1,0,0.5,1,0.5,evaluator-1|control-assistant,false,false,"Перекрытие заголовка фоновым изображением|Мелкий вторичный текст/CTA, много пустоты"
case_005,case_005.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,fixedLayout,fixedLayout,1,2,2,0,0,2,1,1,0,evaluator-1|control-assistant,true,false,"Пригодно, требуется минимальный сдвиг кнопки"
case_006,case_006.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,candidateSelection,fixedLayout,1,2,2,0,0,2,1,1,0,evaluator-1|control-assistant,true,false,Отличный баланс пропорций в компактном формате
case_007,case_007.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,scaling,scaling,1,2,2,0,0,2,1,1,0,evaluator-1|control-assistant,true,false,"Ошибок нет, чистый фон"
case_008,case_008.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,fixedLayout,fixedLayout,1,2,2,0,0,2,1,1,0,evaluator-1|control-assistant,true,false,"Ошибок нет, верстка стабильна"
case_009,case_009.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,candidateSelection,fixedLayout,1,2,1.5,0,1,1,1,1,0.5,evaluator-1|control-assistant,false,false,Оптимальное композиционное решение|Текст и CTA размещены поверх изображения/декора
case_010,case_010.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,scaling,scaling,1,2,2,0,0,2,1,1,0,evaluator-1|control-assistant,true,false,"Искажений нет, пропорции сохранены"
case_011,case_011.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,1,2,2,0,0,2,1,1,0,evaluator-1|control-assistant,true,false,Композиция полностью стабильна
case_012,case_012.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,candidateSelection,fixedLayout,1,2,1.5,0,1,1,1,1,0.5,evaluator-1|control-assistant,false,false,"Идеальное заполнение вертикального формата|Текст/CTA поверх изображения, композиция требует доводки"
case_013,case_013.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,scaling,scaling,1,2,2,0,0,2,1,1,0,evaluator-1|control-assistant,true,false,"Стандартный квадрат, искажений нет"
case_014,case_014.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,fixedLayout,fixedLayout,1,2,1.5,0,1,1,1,1,0.5,evaluator-1|control-assistant,false,false,Чистый макет без пересечений|Текст расположен поверх изображения/декора
case_015,case_015.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,candidateSelection,fixedLayout,1,2,1.5,0,1,1,1,1,0.5,evaluator-1|control-assistant,false,false,Макет готов к публикации|Текст расположен поверх изображения/декора
case_016,case_016.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,scaling,scaling,1,2,0.5,1,1,0,0,1,0.5,evaluator-1|control-assistant,false,false,"Текст ушел под обрез, шрифты нечитаемы|Для узкого формата текст слишком мелкий"
case_017,case_017.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,fixedLayout,fixedLayout,1,2,2,0,0,2,1,1,0,evaluator-1|control-assistant,true,false,Узкий формат отработан корректно
case_018,case_018.png,yandex-rsy-160x600,Яндекс Директ / РСЯ Медийный баннер 160x600,narrow,candidateSelection,fixedLayout,1,2,0.5,1,1,0,0.5,0.5,0.5,evaluator-1|control-assistant,false,false,Потеряны обязательные текстовые блоки (только лого)|Сильно упрощено: только логотип и заголовок
case_019,case_019.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,scaling,scaling,1,2,1.5,0,1,1,1,1,0,evaluator-1|control-assistant,false,false,Незначительный сдвиг охранного поля логотипа
case_020,case_020.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,fixedLayout,fixedLayout,1,2,0.5,1,1,0,0.5,1,0.5,evaluator-1|control-assistant,false,false,Элементы логотипа наложились друг на друга|Сильно упрощено: только логотип и заголовок
case_021,case_021.png,2gis-logo-200x200,2ГИС Логотип 200x200,logo,candidateSelection,hero,1,2,1.5,0,1,1,1,1,0,evaluator-1|control-assistant,false,false,"Требуется ручной центрирующий сдвиг|Плотная компоновка, но читаемо"
case_022,case_022.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,scaling,scaling,1,2,0.5,1,1,0,0,1,0.5,evaluator-1|control-assistant,false,false,Критический оверлап текста и графики|Мелкий текст для малого баннера
case_023,case_023.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,fixedLayout,fixedLayout,1,2,1.5,0,1,1,1,1,0,evaluator-1|control-assistant,false,false,Требуется подгонка внутренних отступов
case_024,case_024.png,2gis-search-banner-319x57,2ГИС Баннер в поисковой выдаче,small,candidateSelection,fixedLayout,1,2,1.5,0,1,1,1,1,0,evaluator-1|control-assistant,false,false,Минорное смещение текстовой базовой линии
case_025,case_025.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,scaling,scaling,1,2,0.5,1,1,0,0.5,1,0.5,evaluator-1|control-assistant,false,false,Выход текстового контейнера за границы баннера|Мелкий вторичный текст/CTA
case_026,case_026.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,fixedLayout,fixedLayout,1,2,1.5,0,1,1,1,1,0,evaluator-1|control-assistant,false,false,"Нарушена иерархия шрифтов, текст слишком мелкий"
case_027,case_027.png,yandex-rsy-320x100,Яндекс Директ / РСЯ Медийный баннер 320x100,wide,candidateSelection,split,1,2,1.5,0,1,1,1,1,0,evaluator-1|control-assistant,false,false,Требуется ручная балансировка левого поля
case_028,case_028.png,2gis-card-bg-800x400,2ГИС Фоновое изображение карточки,horizontal,scaling,scaling,1,2,1.5,0,1,1,1,1,0,evaluator-1|control-assistant,false,false,Легкое размытие растра при масштабировании
case_029,case_029.png,2gis-card-bg-800x400,2ГИС Фоновое изображение карточки,horizontal,fixedLayout,fixedLayout,1,2,2,0,0,2,1,1,0,evaluator-1|control-assistant,true,false,Фон сгенерирован без ошибок
