caseId,manualScore,readabilityOk,requiredPreserved,majorOverlap,comment
case_001,0,no,yes,yes,Критическое наложение текста на графические элементы из-за экстремального сжатия контейнера
case_002,1,yes,yes,no,Необходима незначительная доработка межстрочных интервалов и полей
case_003,1,yes,yes,no,Дублирует базовую схему; требуется ручная подгонка внутренних отступов
case_004,0,no,yes,yes,Критическое перекрытие заголовка фоновым изображением без учета контрастности
case_005,2,yes,yes,no,"Технически валидная заготовка, требуется минимальный сдвиг кнопки к краю"
case_006,2,yes,yes,no,Корректное распределение элементов в широком формате
case_007,2,yes,yes,no,"Искажений нет, пропорции и читаемость полностью сохранены"
case_008,2,yes,yes,no,"Элементы позиционированы корректно, разметка стабильна"
case_009,2,yes,yes,no,"Сборка выполнена без замечаний, макет готов к наполнению"
case_010,2,yes,yes,no,"Искажения отсутствуют, пропорции растра в пределах нормы"
case_011,2,yes,yes,no,"Вертикальный макет собран корректно, элементы не конфликтуют"
case_012,2,yes,yes,no,"Оптимальное заполнение вертикального формата, коллизий нет"
case_013,2,yes,yes,no,"Стандартный квадратный формат, пропорции элементов удержаны"
case_014,2,yes,yes,no,Чистая структура без пересечения bounding box-ов
case_015,2,yes,yes,no,"Готовая заготовка, дефектов рендеринга не обнаружено"
case_016,0,no,yes,yes,"В узком формате текст вышел за границы макета, шрифты нечитаемы"
case_017,2,yes,yes,no,"Узкий формат обработан корректно, элементы выстроены в стек"
case_018,2,yes,yes,no,Элементы спозиционированы по вертикали без наложений
case_019,1,yes,yes,no,Незначительное нарушение охранной зоны логотипа
case_020,0,no,yes,yes,Элементы составного логотипа наложились друг на друга при сжатии холста
case_021,1,yes,yes,no,Выбрана альтернативная стратегия hero; требуется корректировка полей знака
case_022,0,no,yes,yes,Критический оверлап основного УТП и фоновой подложки
case_023,1,yes,yes,no,Требуется ручное выравнивание базовой линии текстовых блоков
case_024,1,yes,yes,no,Результат требует косметической доработки внутренних отступов контейнера
case_025,0,no,yes,yes,"Выход текстового блока за правое поле баннера, обрез контента"
case_026,1,yes,yes,no,"Нарушена иерархия размеров шрифтов, текст слишком мелкий"
case_027,1,yes,yes,no,"Стратегия split разделила контент, требуется выравнивание текстового блока по центру"
case_028,1,yes,yes,no,Легкое размытие и потеря четкости растрового фона при масштабировании
case_029,2,yes,yes,no,Фоновое изображение кадрировано корректно
case_030,2,yes,yes,no,Фон распределен без искажений геометрии
case_031,2,yes,yes,no,Вертикальная композиция полностью стабильна
case_032,2,yes,yes,no,Нарушений безопасных зон площадки не обнаружено
case_033,2,yes,yes,no,Чистая структура вертикального баннера
case_034,2,yes,yes,no,Квадратный фон адаптирован без артефактов растяжения
case_035,2,yes,yes,no,Ошибок позиционирования слоев не зафиксировано
case_036,2,yes,yes,no,"Композиционный центр сохранен, дефекты отсутствуют"
case_037,1,yes,yes,no,Избыточное пустое пространство в нижней трети макета
case_038,2,yes,yes,no,Узкий вертикальный макет собран по сетке без ошибок
case_039,2,yes,yes,no,Хорошая читаемость акцентных элементов и CTA
case_040,1,yes,yes,no,Минорное нарушение безопасного отступа торгового знака
case_041,0,no,yes,yes,Наложение дескриптора на графическую часть товарного знака
case_042,1,yes,yes,no,Требуется ручное центрирование логотипа внутри охранного контейнера
case_043,0,no,yes,yes,Сплющивание и деформация шрифта по вертикальной оси
case_044,1,yes,yes,no,"Кегль шрифта на грани фола, требуется ручное увеличение межбуквенного интервала"
case_045,1,yes,yes,no,"Элементы не пересекаются, но текст требует увеличения контрастности"
case_046,0,no,yes,yes,Наложение слоев из-за ошибочного scale-коэффициента при ресайзе
case_047,2,yes,yes,no,"Качественная стартовая заготовка, правок не требуется"
case_048,2,yes,yes,no,Элементы корректно распределены по всей ширине макета
case_049,1,yes,yes,no,Нарушен баланс правого и левого полей (заваливание композиции)
