caseId,manualScore,readabilityOk,requiredPreserved,majorOverlap,comment
case_001,0,no,yes,yes,Сильный оверлап из-за экстремального сжатия текста
case_002,1,yes,yes,no,Требуется ручная корректировка полей и интерлиньяжа
case_003,1,yes,yes,no,Незначительный выход элементов за пределы safe-area
case_004,0,no,yes,yes,Перекрытие заголовка фоновым изображением
case_005,2,yes,yes,no,"Пригодно, требуется минимальный сдвиг кнопки"
case_006,2,yes,yes,no,Отличный баланс пропорций в компактном формате
case_007,2,yes,yes,no,"Ошибок нет, чистый фон"
case_008,2,yes,yes,no,"Ошибок нет, верстка стабильна"
case_009,2,yes,yes,no,Оптимальное композиционное решение
case_010,2,yes,yes,no,"Искажений нет, пропорции сохранены"
case_011,2,yes,yes,no,Композиция полностью стабильна
case_012,2,yes,yes,no,Идеальное заполнение вертикального формата
case_013,2,yes,yes,no,"Стандартный квадрат, искажений нет"
case_014,2,yes,yes,no,Чистый макет без пересечений
case_015,2,yes,yes,no,Макет готов к публикации
case_016,0,no,yes,yes,"Текст ушел под обрез, шрифты нечитаемы"
case_017,2,yes,yes,no,Узкий формат отработан корректно
case_018,0,no,no,yes,Потеряны обязательные текстовые блоки (только лого)
case_019,1,yes,yes,no,Незначительный сдвиг охранного поля логотипа
case_020,0,no,yes,yes,Элементы логотипа наложились друг на друга
case_021,1,yes,yes,no,Требуется ручной центрирующий сдвиг
case_022,0,no,yes,yes,Критический оверлап текста и графики
case_023,1,yes,yes,no,Требуется подгонка внутренних отступов
case_024,1,yes,yes,no,Минорное смещение текстовой базовой линии
case_025,0,no,yes,yes,Выход текстового контейнера за границы баннера
case_026,1,yes,yes,no,"Нарушена иерархия шрифтов, текст слишком мелкий"
case_027,1,yes,yes,no,Требуется ручная балансировка левого поля
case_028,1,yes,yes,no,Легкое размытие растра при масштабировании
case_029,2,yes,yes,no,Фон сгенерирован без ошибок
case_030,2,yes,yes,no,Корректное разделение на зоны
case_031,2,yes,yes,no,Проблем с композицией не обнаружено
case_032,2,yes,yes,no,Чистая структура макета
case_033,2,yes,yes,no,Сбалансированный вертикальный баннер
case_034,2,yes,yes,no,Растяжение текстуры в пределах нормы
case_035,2,yes,yes,no,Ошибок позиционирования нет
case_036,2,yes,yes,no,Композиционный центр сохранен
case_037,1,yes,yes,no,Избыточное пустое пространство снизу
case_038,2,yes,yes,no,Вертикальный макет собран корректно
case_039,2,yes,yes,no,Хорошая читаемость акцентных элементов
case_040,1,yes,yes,no,Минорное нарушение safe-area логотипа
case_041,0,no,yes,yes,Наложение знака на текстовую часть лого
case_042,1,yes,yes,no,Требуется ручное выравнивание по сетке
case_043,0,no,yes,yes,Сплющивание шрифта по вертикали
case_044,1,yes,yes,no,Нарушены пропорции микрошрифтов
case_045,1,yes,yes,no,Требуется ручное увеличение трекинга
case_046,0,no,yes,yes,Наложение слоев из-за ошибочного scale-коэффициента
case_047,2,yes,yes,no,"Готовая заготовка, правок почти не требуется"
case_048,2,yes,yes,no,Корректное распределение объектов по ширине
case_049,1,yes,yes,no,Нарушен баланс правого и левого полей
case_050,2,yes,yes,no,Сборка макета без замечаний
case_051,2,yes,yes,no,Четкое разделение контента и графики
case_052,2,yes,yes,no,Артефактов и перекрытий нет
case_053,2,yes,yes,no,Пропорции полностью соблюдены
case_054,2,yes,yes,no,Элементы распределены гармонично
case_055,2,yes,yes,no,Пропорции 1:1 выдержаны корректно
case_056,2,yes,yes,no,"Пригодно, косметическая правка полей"
case_057,2,yes,yes,no,Удачное размещение изображения сверху
case_058,0,no,yes,yes,Элементы миниатюры слились в единое пятно
case_059,0,no,yes,yes,Текст перекрыл графический маркер
case_060,1,yes,yes,no,Кнопка слишком близко к краю окружности
case_061,0,no,yes,yes,Перекрытие основного УТП второстепенным текстом
case_062,2,yes,yes,no,Хорошая адаптация под горизонтальный формат
case_063,2,yes,yes,no,Оптимальное сжатие без потери читаемости
case_064,1,yes,yes,no,Избыточный межбуквенный интервал
case_065,2,yes,yes,no,Композиция стабильна
case_066,2,yes,yes,no,Разделение зон выполнено без наложений
case_067,2,yes,yes,no,Дефектов рендеринга нет
case_068,2,yes,yes,no,Полное соответствие гайдлайну формата
case_069,2,yes,yes,no,Визуальные акценты расставлены правильно
case_070,2,yes,yes,no,Квадратная композиция без искажений
case_071,2,yes,yes,no,Элементы стоят строго по сетке
case_072,2,yes,yes,no,Готовый графический паттерн
case_073,0,no,yes,yes,Иконка тизера перекрыла текстовый блок
case_074,0,no,yes,yes,Текст вышел за нижнюю границу контейнера
case_075,1,yes,yes,no,"Плотная компоновка, требуется уменьшить кегль"
case_076,2,yes,yes,no,Графика адаптирована под широкую пропорцию
case_077,2,yes,yes,no,Проблемы с читаемостью отсутствуют
case_078,2,yes,yes,no,Корректный split-дизайн
case_079,2,yes,yes,no,Вертикальное соотношение сторон выдержано
case_080,2,yes,yes,no,Геометрия блоков не нарушена
case_081,2,yes,yes,no,Фокусный элемент расположен по центру
case_082,2,yes,yes,no,Искажений пропорций нет
case_083,2,yes,yes,no,Сетка макета отработала штатно
case_084,2,yes,yes,no,Чистый графический вывод
case_085,2,yes,yes,no,Экстремальная ширина обработана корректно
case_086,2,yes,yes,no,Нет наложений элементов при растяжении
case_087,2,yes,yes,no,Текст и изображение изолированы друг от друга
case_088,2,yes,yes,no,Удлиненный вертикальный формат без дефектов
case_089,2,yes,yes,no,Элементы не сбились в кучу
case_090,2,yes,yes,no,
