caseId,randomFileName,formatId,formatName,group,method,selectedLayout,score,actionsToFix,estimatedCorrectionTimeSec,evaluatorId,sourceFile,manualScore,readabilityOk,requiredPreserved,majorOverlap,comment
case_001,case_001.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,scaling,scaling,1950,5,150,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Сильный оверлап из-за экстремального сжатия текста
case_002,case_002.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,fixedLayout,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Требуется ручная корректировка полей и интерлиньяжа
case_003,case_003.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,candidateSelection,fixedLayout,100,3,90,evaluator-1,visual-review-evaluator-1.csv,1,true,true,false,Незначительный выход элементов за пределы safe-area
case_004,case_004.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,scaling,scaling,1650,4,120,evaluator-1,visual-review-evaluator-1.csv,0,false,true,true,Перекрытие заголовка фоновым изображением
case_005,case_005.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,fixedLayout,fixedLayout,100,1,30,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Пригодно, требуется минимальный сдвиг кнопки"
case_006,case_006.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,candidateSelection,fixedLayout,100,1,30,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Отличный баланс пропорций в компактном формате
case_007,case_007.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Ошибок нет, чистый фон"
case_008,case_008.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Ошибок нет, верстка стабильна"
case_009,case_009.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Оптимальное композиционное решение
case_010,case_010.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Искажений нет, пропорции сохранены"
case_011,case_011.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,fixedLayout,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Композиция полностью стабильна
case_012,case_012.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,candidateSelection,fixedLayout,100,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,Идеальное заполнение вертикального формата
case_013,case_013.png,2gis-partner-mobile-800x800,2ГИС Баннер в профиле партнера mobile,square,scaling,scaling,50,0,0,evaluator-1,visual-review-evaluator-1.csv,2,true,true,false,"Стандартный квадрат, искажений нет"
