caseId,randomFileName,formatId,formatName,group,method,selectedLayout,cases,ratings,averageManualScore,score0Count,score1Count,score2Count,readabilityOkRate,requiredPreservedRate,majorOverlapRate,evaluatorIds,fullAgreement,strongDisagreement,comments
case_001,case_001.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,scaling,scaling,1,3,1,1,1,1,0.3333333333333333,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,Критическое наложение текста на графические элементы из-за экстремального сжатия контейнера|Мелкий текст в малом формате
case_002,case_002.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,fixedLayout,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Необходима незначительная доработка межстрочных интервалов и полей|Пригодно как стартовая заготовка
case_003,case_003.png,2gis-directory-banner-319x57,2ГИС Баннер под окном справочника,small,candidateSelection,fixedLayout,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,Дублирует базовую схему; требуется ручная подгонка внутренних отступов|Пригодно как стартовая заготовка
case_004,case_004.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,scaling,scaling,1,3,1,1,1,1,0.3333333333333333,1,0.3333333333333333,evaluator-1|evaluator-2|control-assistant,false,true,Критическое перекрытие заголовка фоновым изображением без учета контрастности|Слишком мелкий текст и большой пустой запас
case_005,case_005.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,"Технически валидная заготовка, требуется минимальный сдвиг кнопки к краю|Пригодно как стартовая заготовка"
case_006,case_006.png,yandex-rsy-1000x120,Яндекс Директ / РСЯ Медийный баннер 1000x120,wide,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,Корректное распределение элементов в широком формате|Пригодно как стартовая заготовка
case_007,case_007.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,scaling,scaling,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,"Искажений нет, пропорции и читаемость полностью сохранены|Пригодно как стартовая заготовка"
case_008,case_008.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,fixedLayout,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,"Элементы позиционированы корректно, разметка стабильна|Пригодно как стартовая заготовка"
case_009,case_009.png,2gis-bg-1440x800,2ГИС Фон рекламного блока,horizontal,candidateSelection,fixedLayout,1,3,2,0,0,3,1,1,0,evaluator-1|evaluator-2|control-assistant,true,false,"Сборка выполнена без замечаний, макет готов к наполнению|Пригодно как стартовая заготовка"
case_010,case_010.png,2gis-story-1080x1920,2ГИС Сторис 9:16,vertical,scaling,scaling,1,3,1.6666666666666667,0,1,2,1,1,0,evaluator-1|evaluator-2|control-assistant,false,false,"Искажения отсутствуют, пропорции растра в пределах нормы|Текстовая часть узкая, требуется ручная правка"
